class,text
Liberal,"A woman pretended Afro-American to gain control over black community association The president of a local NAACP chapter in Spokane, Washington is under investigation after her parents publicly accused her of lying being African American. Both parents of Rachel Dolezal are white. Rachel Dolezal also serves as the chair of Spokane's Office of Police Ombudsman Commission and is an adjunct professor of Africana Studies at Eastern Washington University. Dolezal falsely identified herself as African-American in order to be appointed as a chair. Dolezal's parents paid attention to the official documents, including a birth certificate, confirming that Rachel is part Swedish, Czech, and German with ""traces"" of Native American heritage. We see, how whites are trying to gain control over traditionally black organization that protects the rights and interests of the black community. In the Dolezal's case it is unlikely it was a mistake or personally motivated fraud. Simply she was given a task to join the association of black community in order to control it and hold the interests of white majority. We need a deep inspection of Rachel Dolezal's activities while she was a president of the local branch of the Association of black people! In order not to repeat similar cases in future we need a careful control of all appointments by black community! As it is, there is a dominance of whites in police departments and authorities of cities with a predominantly black population!"
Liberal,"2Pac believed in Fight Tupac Shakur was indeed not just one of the greatest rappers of all time but a worldly icon whose status in hip-hop culture can never be replaced. His revolutionary knowledge mixed with street experience made him powerful unstoppable force that spoke to the hearts of millions of people. His songs touch on a number of engaging topics, including religion, women, oppression, etc. 2Pac was a humanitarian, who stood up for those who couldn't stand up for themselves. He believed in Fight and Speaking the Truth. Nowadays a lot of singers, both black and white use their music to sell records, just for making money. American society at all levels became too corruptive, starting from our government and ending with ordinary citizens. On the contrary Tupac did his music to influence the world. That's why he spoke to issues of poverty, oppression and racism. Today young African-Americans have fallen under bad influence of money, drugs and so on. Yeah, it is all started from the government's attitude towards Blacks. But let's remember Tupac and his ability to question the social order. Changes, one of his popular songs, asks everyone to change their lifestyles for better society. He always asked people to share with each other and to learn to love each other."
Liberal,"Today we celebrate the legendary rapper who ever lived: Happy B-day, Tupac! The greatest of all time rapper is known not only for his music but for the wise words he spoke and his strength in standing up against oppression. His real name was Lesane Parish Crooks. Shakur was only 25 years old at the time he was shot and killed in 1996. His killer has never been caught. We will never forget 2Pac. Today we remember him on what would've been his 44th Birthday."
Liberal,It is an American history. African-American citizens sat behind signs like these on city buses.
Liberal,Americans so much effort to hate each other instead of putting the effort into doing something useful. Stop racism! We all belong to ONE HUMAN RACE.
Liberal,"No national outrage for an incident at pool party where a black teen was shot to death        Today, the pool party in Georgia is even more shocking than a recent pool party in Texas. A young man from Georgia was shot to death at a pool party at Fayette. It was an advertised on social 200 teenager's pool party which ended up with shootings of unknown assailant for unknown reasons. One of the five injured, a 19-year-old black teenager Clanton passed away on the way to hospital. In fact, the media has not made a transparent effort to cover up the incident. Why the pool party in Georgia is a silent story? Why the police was not aware of a large party? Why this story has no national outrage? Is it ok when a black teenager dies? Unfortunately, the responding police officers were not able to prevent the tragedy. From these facts one might conclude, police officers know the easiest ways to arrest people, but they are irresponsible to avoid the shootings at the average pool party."
Liberal,"A 13-year-old child was tasered by cop for skateboarding        A San Diego sheriff's deputy was filmed tasering 13-year-old child in the spine for skateboarding. Witnesses reported that the cop tried to force them to delete videos from their phones. Videos show how the child writhes in agony from being tased. Police said that the child ran away from home and was missing for a day-and-half. However it doesn't give the reason to taser a child. We see another case of police misconduct, when the policeman actually attacked the child. This case should reach the court, because the child hasn't done anything unlawful. The policeman exceeded his powers and used force against a child. So he should be punished. Before the trial nothing's gonna change and cops are about to do whatever they want. The task of all Americans who have witnessed police brutality is to extend all the information about it in order to reach out the government and the court."
Liberal,"Only 9 days this year nobody was killed by police        According to data from Mapping Police Violence there are only 9 days this calendar year when nobody was killed by police in the USA. Since January 1, 2015 at least 508 people have now been killed by policemen. Moreover, analyzing all deaths caused by police, African-American and Hispanic people are more likely to be killed than Whites. Figures show that the index of deaths for black people is 3.45 per million, while for whites it is 1.26 per million. Add here military-style equipment and non-lethal weapons, given to cops. And only 0.02 per cent of the nation's police forces are investigated each year. Only 0.02! That means, US policemen are immune from criminal changes in their killings. That's why they carry out their daily police raids to destroy the population at the territories under their control."
Liberal,"In early 1900s this Black Americana Chocolate Eyes Ad Art was popular in the USA. They made money from our pain and suffering! Though today we don't see such ads, racism still exists in the American society."
Liberal,"Sadness and shocking tragedy at historically black church in Charlestone *CLICK TO GET LIVE UPDATES ON OUR PAGE* A white gunman opened a fire at pastor and 8 other church members at black church in Charlestone, S.0 on Wednesday night. The young clean-shaved shooter walked in during a prayer meeting and started shooting the people. Charleston Police Chief Greg Mullen said that the incident would be investigated as hate crime. Emanuel AME Church is a historically Africa-American church which was found by Denmark Vesey in order to organize a slave revolt in 1822. Despite the first black American president, Africa-Americans remain the most common victims of hate crimes. But what if the hate crime relates to xenophobia? American xenophobia is based on the dominant white heritage that is giving birth to another form of hate and discrimination. These forms take another level of hate. Unfortunately, American tolerance is not what we think it is. US public is swapping patriotism for nationalism, tolerance for Islamophobia, racism and anti-immigrant sentiment. For instance, last February American gunman killed three young Muslims two miles away from the University of North Carolina campus. Was this gunman motivated by hate and intolerance? Should we expect for more hate-crimes? What if American racial change still occurs through generations? What of it racism happens due to unequal opportunities? What if America is still a deeply racist country? What if the church is not a safe place anymore? #CharlestonShooting #chsnews"
Conservative,"Rachel Dolezal is wearing the other persons shoes. Rachel Dolezal drew attention to her racial identification. A white-born former NAACP leader claimed to be black. The criticism towards Dolezal stems controversy around her identity and her position as the president of the NAACP in Washington. Today. Dolezal sees herself as first transracial. Rachel Dolezal stated that her racial identity was black, American Indian; white and two more races. Moreover if she proves that she is black; than anyone else will be able to prove that he/she is not even a human being. What do you think about her? What kind of rights should she have?"
Liberal,"The violent pool story #3. White police officer slammed black teen against his        car This black family from Ohio will never forget the June 9th. According to the family's testimony, Krystal Dixon and her sister Maya Dixon took their eight children, nephews and nieces to Ohio public school in a Fairfield. Nevertheless, the pool employee demanded the family to leave due to one of the children did not have swim trunks. One of the boys broke the rules and the staff asked the family to leave. As six-months pregnant Krystal Dixon walked to the parking lot, the police officer grabbed her arm and asked for an ID-card. The witness video shows how the police officer pepper sprayed Dixon's family and grabbed 12-year-old child by neck. But according to the Fairfield police department, the white police officer did not use excessive force. Did the pool staff force them to leave because they were black? Was it a race factor? Don't you think the police officer's attempt to arrest Krystal Dixon was unlawful? How the police officers should be charged? What kind of right of defense do you have against unlawful arrests? These days, there is far more to being a ""good cop"" than choosing not to hurt innocent people. Plus, when are we going to stop being stereotypical? Even today, the stereotypes effect black population of the United States of America transmitted through music, lyrics, titles, literature, movies and folk saying. White Americans across the country embrace African-Americans the image of criminals and looters. How are we going to live with that?"
Conservative,What else has to happen for you all to realize black lives matter?
Liberal,"Thousands Walk Hand In Hand Across Ravenel Bridge To Show Support For Mother Emanuel Church On Sunday evening, hours after Emanuel A.M.E. Church opened its doors for the first service following the killing of nine of its congregants Wednesday, thousands in Charleston took to the streets in a show of support and solidarity. Observers on the bridge, and thousands more at the base, joined hands to create a ""unity chain,"" then held a moment of silence that lasted five minutes in honor of the fallen. Police estimated that 10,000 to 15,000 took part in Sunday's gathering, according to the Post and Courier. Cars drove slowly past the bridge, taking in the sight and honking horns in solidarity as people chanted ""Charleston strong!"" Throughout history people start to unite only when they face danger or when they're in times of great sorrow. Modern America is accustomed to meet only imaginary dangers, however, Americans are getting more and more reasons to sorrow over something day by day. Does it mean that the key to the unity of 330 million Americans is constant fear and unending sorrow? Does it mean that only this can make Americans unite and forget about the infighting and differences? Unfortunately, yes, it does."
Conservative,"Whatever the white man has done. Black Americans have done, and often even better. Miss Black America in 1969."
Liberal,"How many of you believe in Black Jesus?        There is quite a big number of people arguing about ethnicity of Jesus Christ. Was Jesus white, olive-skinned or black? The Coptic Museum in Cairo, Egypt owns the earliest painting of Jesus Christ in the Church of Rome (6th century) where skin color of Jesus was black."
Conservative,Black is beautiful. God knows what he is doing. The Black skin is a glorious symbol of national greatness.
Liberal,"A small group of activists burned two confederate flags in response to shooting in Charleston, South Carolina.        Why the symbol of the pro-slavery rebellion is still flying on the ground of South Carolina? Why the symbol of white supremacy is still flying on the South Carolina statehouse in Columbia? Why the flag that represents the murder of blacks was not removed from the national statehouse? The confederate flag represents terrorism, reminding us about the slavery time, racism and people that were murdered in a hate-crime. Today, we ask to remove this symbol of racism that flies 120 miles away from the Emanuel African Methodist Episcopal Church in Charleston. Yes, we must wipe off every single symbol of racism from the United States of America including the confederate flag, KKK and other racist organizations. We must give new names to the streets which were named after racist political figures and slave traders. We must remove monuments dedicated to Andrew Jackson, Robert Lee, Benjamin Huger, James Longstreet who owned slaves on their farms. How can we ever expect to get the racist symbols removed until we show ourselves to be men the same as any other race of men?"
Liberal,Such a beautiful day! Such a beatiful view!
Conservative,"McKinney Police Officer Involved In Pool Party Incident        Eric Casebolt, the McKinney, police officer who was caught on video pinning a teenage girl to the ground and pulling his gun on others at a pool party, has resigned Tuesday evening. The McKinney Police Department, Chief Of Police Greg Conley said that Casebolt's decision to leave was voluntary and that he would continue to collect a pension and benefits. Why are the police so aggressive? It's in every state around the country. The young girl at the pool party was treated horrible. Our society needs police, good police, people who will solve crimes but, unfortunately, today we need someone who will protect us from the police. At the same time, it is good that millions of regular people got a glimpse of what kind of policing minorities have endured for decades."
Liberal,"Say it loud - ""I am Black and I'm proud:"""
Liberal,Keeping eye on our brother's cases and much more
Liberal,Keeping eye on our brother's cases and much more
Liberal,Keeping eye on our brother's cases and much more
Liberal,Keeping eye on our brother's cases and much more
Liberal,Keeping eye on our brother's cases and much more
Liberal,Join us because we care. Black matters.
Liberal,Join us because we care. Black matters.
Liberal,Join us because we care. Black matters.
Liberal,Join us because we care. Black matters.
Conservative,Your life matter.My life matter. Black matters.
Conservative,Your life matter.My life matter. Black matters.
Conservative,Your life matter.My life matter. Black matters.
Conservative,Your life matter.My life matter. Black matters.
Conservative,Your life matter.My life matter. Black matters.
Liberal,We really can change the world if we stay united.
Liberal,We really can change the world if we stay united.
Liberal,We really can change the world if we stay united.
Liberal,We really can change the world if we stay united.
Liberal,We really can change the world if we stay united.
Liberal,Black matters because everyone's life matters
Liberal,Black matters because everyone's life matters
Liberal,Black matters because everyone's life matters
Liberal,Black matters because everyone's life matters
Liberal,Black matters because everyone's life matters
Liberal,We can be heard only when we stand together. Black matters.
Liberal,We can be heard only when we stand together. Black matters.
Liberal,We can be heard only when we stand together. Black matters.
Liberal,We can be heard only when we stand together. Black matters.
Liberal,We can be heard only when we stand together. Black matters.
Liberal,"African-American soldiers played a decisive role in the US Army on the western frontier during the Plains Wars, but it's not mentioned in our history books."
Liberal,"Cornel West on Obama: ""The First Black President Has Become The First Niggerized Black President""        Reacting to President Obama's use of the n-word on Marc Maron's podcast, Cornel West called him the first ""niggerized"" president in an appearance on CNN. West criticized Obama as ""a person who is afraid and intimidated when it comes to putting a spotlight on white supremacy."" ""A niggerized black person is a black person who is afraid and scared and intimidated when it comes to putting a spotlight on white supremacy and fighting against white supremacy,"" West explained. ""So when many of us said we have to fight against racism, what were we told? 'No, he can't deal with racism because he has other issues, political calculations. He's the president of all America, not just black America.' We know he's president of all America but white supremacy is American as cherry pie."" West is right as usual. African minorities would choose Mr. West in 2009 and 2012 instead of Obama. But we had no choice. Cornel is a good leader, he knows what black community is suffering from. Obama was promoted by big corporations owned by white people. Obama never tried to protect blacks from police pressure, never tried to stop police violence against blacks. Just count how many black lives were destroyed during his presidency. The number is horrific."
Conservative,"Autopsy Says Freddie Gray Died After Sustaining 'High-Energy Injury' in Police Van        The Baltimore state medical examiner's office has found that Freddie Gray likely died from a single ""high-energy injury"" sustained as he rode shackled in the back of a police van on the day of his arrest, according to an autopsy report obtained by the Baltimore Sun. The autopsy report suggested that Gray may have attempted to stand up during the van ride, and that the injury could have occurred as he was thrown against the van wall when the vehicle changed direction. Like really? When police took Gray to the hospital, doctors determined that he had sustained a severed spine and crushed voice box. High-energy injury? We don't think so. It's hard to believe. Do they think we're idiots or something? Cops imprison you, shoot you, sever your spine, crush your larynx, send you to war, keep you poor, call you a thug and get away with it. There's no excuse for what happened to Freddie."
Liberal,"Ella Baker. The woman behind the scenes. Not many of you will probably be able to recognize Ella Baker, who was a hero of the civil rights Freedom Movement, racial and economic injustice for five decades. Her job was to put together the pieces in order to create a strong organization in the face of racism and injustice. She played a key role in NAACP; Student Nonviolent Coordinating Committee and Martin Luther King's Southern Christian Leadership Conference."
Liberal,Black Matters
Liberal,"Philosophy of African-American activist Huey Newton        Huey Newton was an African-American political activist and a leader of generation of black, best known for founding the militant Black Panther Party in 1966. As a child, Newton experienced racial discrimination that influenced him to create the Black Panther Party as a voice of black people. His party grew up to a size of 5,000 full time party workers in 45 branches across America and inspired generation in North America to join the struggle against oppression. But he was shot to death in August 1989."
Liberal,"More riots are coming this summer ... unless What is the most important thing the government must to do this year in order our country to live in peace? The criminal justice system is very important institution where law enforcement investigate a crime gathering evidences to identify the presumed perpetrator ensuring that rights of the convicted are respected. But what if American criminal justice reform outdated and the country need to focus on a renewed sense of justice? What if disproportionate punishment is the main challenge of the criminal justice system? Disproportionate punishments known far and wide across the United States of America. Consequently, the victim's skin color plays a crucial role in deciding what kind of punishment he will receive. For instance, you are more likely to be sentenced to death if you have killed a white person. Frankly speaking, if the government wants to keep the country away from the summer urban riots, then they must think about the living standards of black population that is several times below the living standards of white people in America. In addition, the White House must reduce the unemployment rates of black population by revising the hiring policy for black Americans. Therefore, if we want a life's balance, the government have to reconsider all these things, because Black Americans lives matter."
Liberal,"Fifty years ago, 48% of African American adults and 57% of African American children lived in poverty. Today, only 28% of African American adults and 38% of African American children live in poverty. We've come so far, but still there is a long way to go."
Liberal,7-Year-Old Madeleine from Charleston drew this picture in order to show us that being colorblind is awesome and we should give it a try.
Liberal,"Sadness and shocking tragedy at historically black church in Charlestone        A white gunman opened a fire at pastor and 8 other church members at black church in Charlestone, S.0 on Wednesday night. The young clean-shaved shooter walked in during a prayer meeting and started shooting the people. Charleston Police Chief Greg Mullen said that the incident would be investigated as hate crime. Emanuel AME Church is a historically Africa-American church which was found by Denmark Vesey in order to organize a slave revolt in 1822. Despite the first black American president, Africa-Americans remain the most common victims of hate crimes. But what if the hate crime relates to xenophobia? American xenophobia is based on the dominant white heritage that is giving birth to another form of hate and discrimination. These forms take another level of hate. Unfortunately, American tolerance is not what we think it is. US public is swapping patriotism for nationalism, tolerance for Islamophobia, racism and anti-immigrant sentiment. For instance, last February American gunman killed three young Muslims two miles away from the University of North Carolina campus. Was this gunman motivated by hate and intolerance? Should we expect for more hate-crimes? What if American racial change still occurs through generations? What of it racism happens due to unequal opportunities? What if America is still a deeply racist country? What if the church is not a safe place anymore?"
Conservative,Patriotism comes from your heart... follow its dictates and don't live a false life. Join!
Conservative,"We can't all be Presidents, but we can all be patriots. Join us!"
Liberal,United We Stand! Welcome every patriot we can reach. Flag and news!
Conservative,"We can't all be Presidents, but we can all be patriots. Join us!"
Liberal,Patriotism begins at home. Join new community about homeland!
Conservative,Patriotism comes from your heart... follow its dictates and don't live a false life. Join!
Liberal,Patriotism begins at home. Join new community about homeland!
Conservative,Your freedom starts here. Join!
Conservative,Your freedom starts here. Join!
Conservative,"Republican strategist Karl Rove said on ""Fox News Sunday"" the only way to stop gun-related violence, like the Wednesday massacre at Emmanuel African Methodist Church in Charleston S.C., was to repeal American citizens' Second Amendment rights. It's strange to hear it from the man who supported 2nd amendment earlier. The lack of clear-cut opinion is very bad character trait. However, it doesn't matter. The right to bear arms is inalienable right of Americans that was given us by the Founding Fathers. The 2nd amendment guarantees private safety of the people. The right to keep and bear arms has been recognized as existing prior even to the creation of a written national constitution. The govermmnet should respect the 2nd amendment and the law in general. It's pity when some politicians think otherwise. People should understand that a gun is not a killing tool, it's self-defense tool. And we will stand for our right to keep and bear arms!"
Liberal,"The Chinese hackers executed a complex attack that gave them ""administrator privileges"" into the computer networks at the Office of Personnel Management, mimicking the credentials of people who run the agency's systems. They began siphoning out a rush of data after constructing what amounted to an electronic pipeline that led back to China, investigators told Congress last week in classified briefings.        Much of the personnel data had been stored in the lightly protected systems of the Department of the Interior, because it had cheap, available space for digital data storage. The administration is urgently working to determine what other agencies are storing similarly sensitive information with weak protections. Officials would not identify their top concerns, but an audit issued early last year, before the Chinese attacks, harshly criticized lax security at the Internal Revenue Service, the Nuclear Regulatory Commission, the Energy Department, the Securities and Exchange Commission — and the Department of Homeland Security, which has responsibility for securing the nation's critical networks. It's not clear who is held liable for security hole. What do you think the hacker attack will affect U.S. — Chinese relations?"
Liberal,"The Battle of Okinawa, codenamed Operation Iceberg, came to the end on June 22, 1945. The operation was fought on the Ryukyu Islands of Okinawa and included the largest amphibious assault in the Pacific War during World War II. The military value of Okinawa ""exceeded all hope."" Okinawa provided a fleet anchorage, troop staging areas, and airfields in close proximity to Japan."
Liberal,"Since the game of American football was first played at the collegiate level in the late 1860s, the sport has captivated fans by using both strength and strategy to get the win. With the introduction of the American Professional Football Association, later renamed to the National Football League, audiences saw athletes play more ferociously than ever before. American football has actually became national kind of sports in the United States. We are proud of such players as Michael Vick, Peyton Manning and John Elway. We are proud we live in America!"
Conservative,"It is a symbol of patriots who were willing to die in order to protect this country and to make sure it has remained as the founders intended. South Carolina governor calls for removal of Confederate flag from statehouseGovernor Nikki Haley makes abrupt about-face in wake of Charleston killings to call for removal of flag that has flown on statehouse grounds for 50 years The Confederate flag represents heritage, not hate. The war that is called the ""Civil War"" was actually the ""War for Southern Independence"". This is our history and our heritage. Just because certain groups have used the confederate flag in hate related crimes or racism does not make the southern flag racist. Now it is used to show heritage and pride from the south showing that they have been strong and have overcome what has happened to them over time."
Conservative,"Why do immigrants think that the U.S. government should create good conditions for them? I think immigrants should prove that they are deserved to stay in the United States. Why should we give a citizenship to those who cannot give something good for the nation? The worst thing is that illegal immigrants who broke the law to live in the United States demand ask for indulgences. What nonsense! Illegals should be deported from the country invariably. But Obama's administration is tied to the chariot of immigrants. Democrats know that immigrants will vote for the Democratic party. Especially former illegals. That's why Barack Obama tries to give the Immigration Amnesty to illegals as soon as possible. It will allow to increase a number of votes for a Democratic Party presidential candidate in 2016. And democrats don't care about the fact that most of immigrants will become welfare recipients, increasing unemployment rate. America doesn't need immigrants, democrats do. What's more important: to win Presidential elections in 2016 or to make America better? Democrats seem to choose first option. That's what differs republicans from democrats."
Conservative,Our flag is one with colors every so bright A symbol of goodwill and all that's right It is a beacon for those who are oppressed Who pine to live in the land of the blessed The photo of the Apollo 15 space shuttle on the Moon is historic moment in the history of the world. This was the first time that a man stepped foot on the Moon.
Liberal,We speak for all fellow members of LGBT community across the nation.
Liberal,We speak for all fellow members of LGBT community across the nation.
Liberal,We speak for all fellow members of LGBT community across the nation.
Liberal,We speak for all fellow members of LGBT community across the nation.
Liberal,We speak for all fellow members of LGBT community across the nation.
Liberal,"THE COLORFUL ACTIVISM OF NEW YORK'S MOST RADICAL QUEERS These wonderful people creating a powerful community through progressive politics, community gardens, wild parties, and colorful performance. Call them the radical queers, and know that the term is flexible; and evolving. From the local gardens of the East Village to Bushwick warehouses; a new wave of New York artists; thinkers and activists young and old. They are banding together to question and redefine what it means to be queer today. It's beauty; perfection; freedom, and of course lots and lots of LOVE! #Igbtq #queer #NYC #art #glamour #perfection"
Liberal,"NOM'S LAST ATTEMPT TO BAN SAME SEX MARRIAGE National Organization for Marriage is asking all of the GOP presidential candidates to sign an anti-equality pledge. Let's take a look at just how crazy this pledge gets.       That's just nuts! They want candidates to support a constitutional amendment to ban marriage nationwide. This will never happen. For the last decade public support for marriage equality has gone from 35 percent to 55 percent! But they don't stop there. NOM also wants candidates to ""work to overturn any Supreme Court decision"" in favor of the freedom to marry. NOM wants the president to only nominate judges who will uphold marriage bans, but at this point, legal consensus so strongly supports marriage equality that supporting marriage bans is a sign that person isn't qualified to be a judge. Also, NOM wants the candidates to weaken civil rights laws, creating loopholes to let companies and citizens to discriminate if they cite a religious justification. That could actually happen — and it already has in some states — so it's a huge concern. And fifth, they want the Department of Justice to investigate harassment against people who oppose marriage equality. Sure, gays and lesbians are harassed every day, fired, kicked out of their homes and schools, separated from their families, but I really hope soon there'll be NO MORE of it! There's a part of me that feels very sad for NOM's fanatics. When they finally kick the bucket, they'll be dealing with the reality (whether they openly face it or not) that their Life's Work has amounted to NOTHING. Nothing they worked for made anyone's life better. At all. They didn't win, and they wasted their lives fighting against the inevitable. And when they're dead and gone, they'll be remembered only as footnotes in shameful history — or more likely they'll be forgotten completely. #LGBT #NOM #SameSexMarriage #Marriage #SCOTUS #equality"
Conservative,"RUBY ROSE SHARING THOUGHTS ABOUT GENDER FLUIDITY. Ruby Rose has long been the celebrity crush of lesbians the world over. But now that she's a star in 'Orange is the New Black', the popularity of this model, actress, and VJ has grown worldwide.        ""Gender fluidity is not really feeling like you're at one end of the spectrum or the other. For the most part, I definitely don't identify as any gender,"" - Rose said; - ""I'm not a guy; I don't really feel like a woman, but obviously I was born one. As a little kid, I was convinced that I was a guy. Then in my teens, I tried to be quite feminine ... And after a little bit, chopped everything off and am kind of back where I started. So, I'm somewhere in the middle, which - in my perfect imagination - is like having the best of both sexes."" #Igbt #RubyRose #GenderFluidity #lesbian #OrangelsTheNewBlack"
Liberal,"Pete Buttigieg is South Bend's 32nd mayor and America's youngest mayor of a city of over 100,000 residents. Recently Buttigieg came out publicly as gay. In life and in service, people like Pete is an inspiration for us all!        #Igbt #QueerQuote #USpolitics #Indiana #ComingOut #Buttigieg"
Conservative,"The ninth transgender was found death in the USA Transgender teen Mercedes Williamson was found dead in a wooded area. She is the ninth confirmed transgender homicide victim in the USA this year. Police in George County. Mississippi have charged a suspect Josh Brandon Vallum. Police said that Mercedes and Josh knew each other, but it is not clear if Vallum knew Williamson was a transgender. Jeanie Miller, whom Williamson had been living with, said that Vallum knew that Williamson was transgender. Modern America is too dangerous for transgenders. This is the ninth transgender killing based on gender identity. According to the National Coalition of Anti-Violence Programs' report hate-motivated violence against transgenders rose 13%. Unfortunately, it is very difficult to live as a transgender in the South. Alabama even passed a religious freedom law in 1998 that allows discrimination against LGBT people. That also allows lawmakers to justify hostility toward transgender people. And that we call `freedom'? America is no longer land of freedom!"
Liberal,"Matt Cage comes out as gay       The pro wrestler Matt Cage, known as 'Money' publicly announced that he is gay in a Facebook post. Previously Matt Hullum identified himself as bisexual. Sorry, ladies. I'm officially pulling myself off of the market. Don't hate me too bad.' 'I truly have nothing to hide anymore,' he wrote. 'I spent the majority of my life lying, hiding and depressed because I felt like I couldn't truly be who I wanted to be and live freely as I saw fit. I had to act and that's not me. I, nor anyone else, should have to do that.' Matt decided to tell the truth publicly because of speculation that was going behind his back. This news should please all progressive humanity because the coming-out once again confirms the fact that homosexuality and masculinity are a perfect combination and do not contradict each other."
Liberal,"First LGBT studies course opens in a San Francisco high school A San Francisco high school may be the first US school to offer an LGBT studies course. The course will teach terminology and the history of LGBT movement. ""We'll look at what it's been like for gay men, what it's been like for lesbian women, what it's been like for transgender people,"" Ruth Asawa High School Social Studies teacher Lyndsey Schlax told. Schlax has been working with Cleve Jones, a human rights activist, who was mentored by Harvey Milk. It is proposed that the class will begin in autumn. Really perfect idea! There are at least twenty eight percent of LGBT students in Asawa High School. It is the fact that we need such classes in every American school! Children shouldn't be afraid to show who they are; they shouldn't be afraid to speak about LGBT history; they should know that it is normal to be gay or lesbian or transgender. Everybody should be taught to understand LGBT people and recognize them as ordinary citizens."
Liberal,"Good morning, dear friends! Have a tasty and colorful morning! All you need is love, coffee and rainbow dishes!"
Liberal,Silent no more: we deserve equal rights! This photo of gay rights protest was made in New York in 1971. These are early days in the fight for gay rights.
Liberal,"California Attorney General ruled against the execution of gays and lesbians        A California judge argued against a proposed initiative about the execution of gay and lesbian people, naming this measure ""unconstitutional on its face."" The Sodomite Suppression Act proposes that ""any person who willingly touches another person of the same gender for purposes of sexual gratification be put to death by bullets to the head or by any other convenient method."" The act also will outlaw advocating gay rights to minors. California Attorney General Kamala Harris claimed that the proposal was unconstitutional and it had no place in civil society. The proposal reminds me the Inquisition. We live in a free and tolerate country! So even talks about such an initiative should be immediately stopped. Where is our President? Stop considering gays as naughty and not like all the others. We are all equal. Despite all the arguments that the opponents of gay marriage call, polls show that the majority of Americans stand for gay marriages. Why not to hold a referendum as the Irish did? Why we should listen to conservatives?"
Liberal,"""Gay, Lesbian, Bi, and Straight, we are the community and family of God, and we are here knowing God loves us."" -Rev. Nathan Baxter        #Igbtq #together #community #Gay #Lesbian #Transgender #NatanBaxter"
